2026-04-15 16:08:01,085 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:01,086 | WARNING | aiogram.dispatcher | Sleep for 5.151248 seconds and try again... (tryings = 13, bot id = 8696591670)
2026-04-15 16:08:06,378 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:06,378 | WARNING | aiogram.dispatcher | Sleep for 4.981279 seconds and try again... (tryings = 14, bot id = 8696591670)
2026-04-15 16:08:11,471 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:11,471 | WARNING | aiogram.dispatcher | Sleep for 4.915937 seconds and try again... (tryings = 14, bot id = 8696591670)
2026-04-15 16:08:16,850 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:16,851 | WARNING | aiogram.dispatcher | Sleep for 5.009665 seconds and try again... (tryings = 15, bot id = 8696591670)
2026-04-15 16:08:21,970 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:21,970 | WARNING | aiogram.dispatcher | Sleep for 5.002835 seconds and try again... (tryings = 15, bot id = 8696591670)
2026-04-15 16:08:27,167 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:27,168 | WARNING | aiogram.dispatcher | Sleep for 4.995527 seconds and try again... (tryings = 16, bot id = 8696591670)
2026-04-15 16:08:32,390 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:32,390 | WARNING | aiogram.dispatcher | Sleep for 4.839950 seconds and try again... (tryings = 16, bot id = 8696591670)
2026-04-15 16:08:37,338 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:37,338 | WARNING | aiogram.dispatcher | Sleep for 5.097849 seconds and try again... (tryings = 17, bot id = 8696591670)
2026-04-15 16:08:42,541 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:42,541 | WARNING | aiogram.dispatcher | Sleep for 4.981954 seconds and try again... (tryings = 17, bot id = 8696591670)
2026-04-15 16:08:47,743 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:47,745 | WARNING | aiogram.dispatcher | Sleep for 4.930464 seconds and try again... (tryings = 18, bot id = 8696591670)
2026-04-15 16:08:52,781 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:52,782 | WARNING | aiogram.dispatcher | Sleep for 5.048948 seconds and try again... (tryings = 18, bot id = 8696591670)
2026-04-15 16:08:57,947 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:08:57,949 | WARNING | aiogram.dispatcher | Sleep for 4.975049 seconds and try again... (tryings = 19, bot id = 8696591670)
2026-04-15 16:09:03,051 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:03,055 | WARNING | aiogram.dispatcher | Sleep for 4.844698 seconds and try again... (tryings = 19, bot id = 8696591670)
2026-04-15 16:09:08,109 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:08,114 | WARNING | aiogram.dispatcher | Sleep for 4.863190 seconds and try again... (tryings = 20, bot id = 8696591670)
2026-04-15 16:09:13,084 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:13,086 | WARNING | aiogram.dispatcher | Sleep for 4.930837 seconds and try again... (tryings = 20, bot id = 8696591670)
2026-04-15 16:09:18,168 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:18,169 | WARNING | aiogram.dispatcher | Sleep for 4.940344 seconds and try again... (tryings = 21, bot id = 8696591670)
2026-04-15 16:09:23,209 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:23,209 | WARNING | aiogram.dispatcher | Sleep for 4.924815 seconds and try again... (tryings = 21, bot id = 8696591670)
2026-04-15 16:09:28,247 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:28,248 | WARNING | aiogram.dispatcher | Sleep for 4.940955 seconds and try again... (tryings = 22, bot id = 8696591670)
2026-04-15 16:09:33,296 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:33,297 | WARNING | aiogram.dispatcher | Sleep for 4.977311 seconds and try again... (tryings = 22, bot id = 8696591670)
2026-04-15 16:09:38,374 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:38,374 | WARNING | aiogram.dispatcher | Sleep for 4.936704 seconds and try again... (tryings = 23, bot id = 8696591670)
2026-04-15 16:09:43,412 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:43,412 | WARNING | aiogram.dispatcher | Sleep for 4.947249 seconds and try again... (tryings = 23, bot id = 8696591670)
2026-04-15 16:09:48,471 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:48,472 | WARNING | aiogram.dispatcher | Sleep for 4.977607 seconds and try again... (tryings = 24, bot id = 8696591670)
2026-04-15 16:09:53,554 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:53,555 | WARNING | aiogram.dispatcher | Sleep for 5.044919 seconds and try again... (tryings = 24, bot id = 8696591670)
2026-04-15 16:09:58,704 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:09:58,705 | WARNING | aiogram.dispatcher | Sleep for 4.978784 seconds and try again... (tryings = 25, bot id = 8696591670)
2026-04-15 16:10:03,790 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:03,791 | WARNING | aiogram.dispatcher | Sleep for 4.981485 seconds and try again... (tryings = 25, bot id = 8696591670)
2026-04-15 16:10:08,882 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:08,882 | WARNING | aiogram.dispatcher | Sleep for 4.958966 seconds and try again... (tryings = 26, bot id = 8696591670)
2026-04-15 16:10:13,952 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:13,952 | WARNING | aiogram.dispatcher | Sleep for 4.964390 seconds and try again... (tryings = 26, bot id = 8696591670)
2026-04-15 16:10:19,015 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:19,015 | WARNING | aiogram.dispatcher | Sleep for 4.880616 seconds and try again... (tryings = 27, bot id = 8696591670)
2026-04-15 16:10:24,009 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:24,010 | WARNING | aiogram.dispatcher | Sleep for 5.184460 seconds and try again... (tryings = 27, bot id = 8696591670)
2026-04-15 16:10:29,305 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:29,307 | WARNING | aiogram.dispatcher | Sleep for 4.873820 seconds and try again... (tryings = 28, bot id = 8696591670)
